model,condition_1,condition_2,n,rho,context_context
llama,original,health,1260,0.7808011291471699,False
llama,original,neutral,1260,0.7656852409081725,False
llama,original,positive,1260,0.808600182938895,False
llama,original,negative_minor,1260,0.7807392958698984,False
llama,health,neutral,1260,0.9244121565469863,True
llama,health,positive,1260,0.922099960899219,True
llama,health,negative_minor,1260,0.9243888348538705,True
llama,neutral,positive,1260,0.9331857424403287,True
llama,neutral,negative_minor,1260,0.941398996868069,True
llama,positive,negative_minor,1260,0.9412060843828456,True
gemma,original,health,1260,0.8786103696946137,False
gemma,original,neutral,1260,0.8788539727018241,False
gemma,original,positive,1260,0.8588883547164672,False
gemma,original,negative_minor,1260,0.8944428562653081,False
gemma,health,neutral,1260,0.950530101217304,True
gemma,health,positive,1260,0.9265562419679542,True
gemma,health,negative_minor,1260,0.9530628986630825,True
gemma,neutral,positive,1260,0.9582728225698028,True
gemma,neutral,negative_minor,1260,0.956149979394668,True
gemma,positive,negative_minor,1260,0.9323542031237587,True
qwen,original,health,1260,0.6864045206466725,False
qwen,original,neutral,1260,0.7652156373725434,False
qwen,original,positive,1260,0.7062382888454021,False
qwen,original,negative_minor,1260,0.7506883807229386,False
qwen,health,neutral,1260,0.7756529914959838,True
qwen,health,positive,1260,0.8287605823789108,True
qwen,health,negative_minor,1260,0.8061169989810449,True
qwen,neutral,positive,1260,0.8024651743768478,True
qwen,neutral,negative_minor,1260,0.8253877782649475,True
qwen,positive,negative_minor,1260,0.8176125533106384,True
ministral,original,health,1260,0.7656602933420145,False
ministral,original,neutral,1260,0.8033355074457578,False
ministral,original,positive,1260,0.706849678556629,False
ministral,original,negative_minor,1260,0.8172903932194059,False
ministral,health,neutral,1260,0.7746684533145893,True
ministral,health,positive,1260,0.7647029009024252,True
ministral,health,negative_minor,1260,0.9227123686545565,True
ministral,neutral,positive,1260,0.890341537535444,True
ministral,neutral,negative_minor,1260,0.8336593473320859,True
ministral,positive,negative_minor,1260,0.7768940154730049,True
