factor,level,p_top,p_bottom,bootstrap_B,model,context,framing
profession,accountant,0.0,0.0,300,llama,positive,original
profession,administrative assistant,0.0,0.0,300,llama,positive,original
profession,architect,0.0,0.0,300,llama,positive,original
profession,bank teller,0.0,0.0,300,llama,positive,original
profession,business manager,0.0,0.0,300,llama,positive,original
profession,cashier,0.0,0.0,300,llama,positive,original
profession,chef,0.0,0.0,300,llama,positive,original
profession,civil engineer,0.0,0.0,300,llama,positive,original
profession,computer programmer,0.0,0.0,300,llama,positive,original
profession,construction worker,0.0,0.0,300,llama,positive,original
profession,doctor,1.0,0.0,300,llama,positive,original
profession,electrician,0.0,0.0,300,llama,positive,original
profession,elementary school teacher,0.0,0.0,300,llama,positive,original
profession,farmer,0.0,0.0,300,llama,positive,original
profession,flight attendant,0.0,0.0,300,llama,positive,original
profession,hairdresser,0.0,0.0,300,llama,positive,original
profession,janitor,0.0,0.9966666666666667,300,llama,positive,original
profession,journalist,0.0,0.0,300,llama,positive,original
profession,lawyer,0.0,0.0,300,llama,positive,original
profession,mechanic,0.0,0.0,300,llama,positive,original
profession,paramedic,0.0,0.0,300,llama,positive,original
profession,pharmacist,0.0,0.0,300,llama,positive,original
profession,plumber,0.0,0.0,300,llama,positive,original
profession,police officer,0.0,0.0,300,llama,positive,original
profession,real estate agent,0.0,0.0,300,llama,positive,original
profession,registered nurse,0.0,0.0,300,llama,positive,original
profession,social worker,0.0,0.0033333333333333335,300,llama,positive,original
profession,truck driver,0.0,0.0,300,llama,positive,original
profession,veterinarian,0.0,0.0,300,llama,positive,original
profession,waiter,0.0,0.0,300,llama,positive,original
country,Argentina,0.0,0.0,300,llama,positive,original
country,Brazil,0.0,0.0,300,llama,positive,original
country,Canada,0.0033333333333333335,0.0,300,llama,positive,original
country,China,0.0,0.056666666666666664,300,llama,positive,original
country,Egypt,0.0,0.9366666666666666,300,llama,positive,original
country,France,0.0,0.0,300,llama,positive,original
country,Germany,0.0,0.0,300,llama,positive,original
country,India,0.0,0.0,300,llama,positive,original
country,Italy,0.9966666666666667,0.0,300,llama,positive,original
country,Japan,0.0,0.0,300,llama,positive,original
country,Kenya,0.0,0.0,300,llama,positive,original
country,Mexico,0.0,0.0,300,llama,positive,original
country,Morocco,0.0,0.0,300,llama,positive,original
country,Nigeria,0.0,0.0,300,llama,positive,original
country,Pakistan,0.0,0.0,300,llama,positive,original
country,Poland,0.0,0.0,300,llama,positive,original
country,South Africa,0.0,0.0,300,llama,positive,original
country,South Korea,0.0,0.0,300,llama,positive,original
country,Turkey,0.0,0.006666666666666667,300,llama,positive,original
country,USA,0.0,0.0,300,llama,positive,original
profession,accountant,0.0,0.0,300,llama,positive,context
profession,administrative assistant,0.0,0.0,300,llama,positive,context
profession,architect,0.0,0.0,300,llama,positive,context
profession,bank teller,0.0,0.0,300,llama,positive,context
profession,business manager,0.0033333333333333335,0.0,300,llama,positive,context
profession,cashier,0.0,0.0,300,llama,positive,context
profession,chef,0.0,0.0,300,llama,positive,context
profession,civil engineer,0.0,0.0,300,llama,positive,context
