condition,persona_id,topic,response_condition,digit,raw_text
positive,P02222,gender equality,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationprovided,IestimateThatMarcowouldagreewiththestatement""Menand"
positive,P01605,lgbtq rights,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationprovided,IestimateThatDominiquecouldbeagreethestatement"
positive,P02216,immigration,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationprovided,IestimateMarcowouldagreewiththestatement""Immigrationis"
positive,P05293,economic redistribution,B_optional,4,"Iwouldrespondwith4,asIbelieveAshleywouldagreewiththestatement.""Governmentshouldredistributewealththroughheavytaxes"
positive,P00341,religion and secularism,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationprovided,IestimateCarloswouldagreewiththestatement""Religions"
positive,P04574,gender equality,B_optional,4,"Iwouldrespondwith4,whichmeansThattheymightagreewiththestatement,butit'sdifficulttoknowforcertainwithoutmoreinformationabouttheir"
positive,P02062,immigration,A_forced,4,Iwouldrespondwith4.
positive,P05303,economic redistribution,B_optional,4,"Iwouldrespondwith4,asIbelieveAshleywouldagreewiththestatement.""Governmentshouldredistributewealththroughheavytaxes"
positive,P04376,gender equality,B_optional,4,"Iwouldrespondwith4,hewouldagreewiththestatement."
positive,P03353,trust in government,B_optional,4,"Iwouldrespondwith4,shemightagreewiththestatementbutwithamoderatedapproach."
positive,P00298,lgbtq rights,A_forced,4,Iwouldrespondwith4.
positive,P04002,trust in government,A_forced,4,Iwouldrespondwith4.
positive,P00679,immigration,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationprovided,IestimateOliviawouldagreewiththestatement""Immigration"
positive,P00547,immigration,A_forced,4,Iwouldrespondwith4.
positive,P03329,religion and secularism,A_forced,4,Iwouldrespondwith4.
positive,P01043,climate change,B_optional,4,"Iwouldrespondwith4,theywouldagreewiththestatement.""Climatechangeisaseriousthreatthatrequiresimmediategovernmentaction"
positive,P03108,lgbtq rights,A_forced,4,Iwouldrespondwith4.
positive,P04609,religion and secularism,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationprovided,IestimatehthatMin-junwouldagreewiththestatement"
positive,P05165,trust in government,B_optional,4,"Iwouldrespondwith4,asIbelieveTylerwouldviewthisstatementwith""Thegovernmentcangenerallybetrustedtoactinthebest"
positive,P05081,lgbtq rights,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationprovided,IestimateDenizasbeingacentristontheissue,"
negative_minor,P00541,climate change,B_optional,4,"Iwouldrespondwith4,asIimagineNoahwouldagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediateg"
negative_minor,P03265,religion and secularism,B_optional,4,"Iwouldrespondwith4,asYoussefworksinagoventalitiesfieldandmaybelookingfortransformationsoftherealestatemark"
negative_minor,P01376,trust in government,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationprovided,Pierreisahumanbeingandlikeallhumanbeings,"
negative_minor,P01409,lgbtq rights,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".BasedontheinformationgivenaboutPierrebeingamanandworkinginaveterinarian,I"
negative_minor,P04486,economic redistribution,B_optional,4,"Iwouldrespondwith4,asThandiweis65yearsoldandidentifiesasawoman,itisthinkablehathat"
negative_minor,P02560,trust in government,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".BasedonwhatI'velearnedaboutYuki,Ithinkshemightbeopen-"
negative_minor,P00649,trust in government,B_optional,4,"Iwouldrespondwith4,whichmeansOliviawould""Agree""withthestatement.""Thegovernmentcangenerallybetrustedtoactint"
negative_minor,P03745,gender equality,B_optional,4,"Iwouldrespondwith4,asAyomideisnon-binaryandmayidentifyasmaleorfemale,theymightbelookingformoreequality"
negative_minor,P00389,immigration,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".BasedonwhatI'velearnedaboutAna,Ithinkshemightagreewiththestatement"
negative_minor,P05166,gender equality,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".WhileIcan'tdetailsaboutTyler'spersonalbeliefsongenderequality,"
negative_minor,P02362,gender equality,B_optional,4,"Iwouldrespondwith4,Celesteseemslikeanopen-mindedandequality-mindedperson,Iwouldguesstheywouldagreewiththestatement."""
negative_minor,P05207,climate change,B_optional,4,"Iwouldrespondwith4,asIimagineTylerwouldagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediateg"
negative_minor,P05072,gender equality,B_optional,4,"Iwouldrespondwith4,asDenizseemslikeaveryprogressiveandequalrights-mindedperson.Theywouldlikelyagreewiththestatementthatmen"
negative_minor,P02164,lgbtq rights,B_optional,4,"Iwouldrespondwith4,whichmeans""Agree"".Basedontheinformationgiven,IestimateMarcoasamoremixofacceptingandop"
