model,factor,condition_1,condition_2,spearman_r,permutation_p,n_permutations,method,is_context_pair
llama,profession,original,health,0.7868743047830923,4.9999750001249995e-06,200000,monte_carlo_200000,False
llama,profession,original,neutral,0.5853170189098998,0.0008549957250213749,200000,monte_carlo_200000,False
llama,profession,original,positive,0.8438264738598443,4.9999750001249995e-06,200000,monte_carlo_200000,False
llama,profession,original,negative_minor,0.6783092324805339,3.9999800000999996e-05,200000,monte_carlo_200000,False
llama,profession,health,neutral,0.728587319243604,9.999950000249999e-06,200000,monte_carlo_200000,True
llama,profession,health,positive,0.8647385984427142,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,profession,health,negative_minor,0.7299221357063403,1.4999925000374999e-05,200000,monte_carlo_200000,True
llama,profession,neutral,positive,0.7873192436040044,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,profession,neutral,negative_minor,0.8780867630700778,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,profession,positive,negative_minor,0.8304783092324804,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,country,original,health,0.5984962406015037,0.0062499687501562495,200000,monte_carlo_200000,False
llama,country,original,neutral,0.6541353383458646,0.0023699881500592497,200000,monte_carlo_200000,False
llama,country,original,positive,0.6015037593984961,0.006014969925150374,200000,monte_carlo_200000,False
llama,country,original,negative_minor,0.6,0.006094969525152374,200000,monte_carlo_200000,False
llama,country,health,neutral,0.9172932330827066,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,country,health,positive,0.8917293233082706,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,country,health,negative_minor,0.8947368421052632,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,country,neutral,positive,0.9518796992481202,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,country,neutral,negative_minor,0.9654135338345864,4.9999750001249995e-06,200000,monte_carlo_200000,True
llama,country,positive,negative_minor,0.9413533834586465,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,profession,original,health,0.9488320355951056,4.9999750001249995e-06,200000,monte_carlo_200000,False
gemma,profession,original,neutral,0.9497219132369298,4.9999750001249995e-06,200000,monte_carlo_200000,False
gemma,profession,original,positive,0.9408231368186873,4.9999750001249995e-06,200000,monte_carlo_200000,False
gemma,profession,original,negative_minor,0.9479421579532814,4.9999750001249995e-06,200000,monte_carlo_200000,False
gemma,profession,health,neutral,0.9608453837597329,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,profession,health,positive,0.9684093437152391,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,profession,health,negative_minor,0.9697441601779755,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,profession,neutral,positive,0.9537263626251389,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,profession,neutral,negative_minor,0.9590656284760846,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,profession,positive,negative_minor,0.96440489432703,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,country,original,health,0.6781954887218045,0.0013999930000349998,200000,monte_carlo_200000,False
gemma,country,original,neutral,0.6601503759398496,0.001994990025049875,200000,monte_carlo_200000,False
gemma,country,original,positive,0.5984962406015037,0.006329968350158249,200000,monte_carlo_200000,False
gemma,country,original,negative_minor,0.7503759398496239,0.00017499912500437497,200000,monte_carlo_200000,False
gemma,country,health,neutral,0.900751879699248,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,country,health,positive,0.8165413533834586,2.9999850000749997e-05,200000,monte_carlo_200000,True
gemma,country,health,negative_minor,0.882706766917293,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,country,neutral,positive,0.8872180451127819,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,country,neutral,negative_minor,0.9293233082706768,4.9999750001249995e-06,200000,monte_carlo_200000,True
gemma,country,positive,negative_minor,0.7654135338345864,0.00019999900000499998,200000,monte_carlo_200000,True
qwen,profession,original,health,0.9141268075639599,4.9999750001249995e-06,200000,monte_carlo_200000,False
qwen,profession,original,neutral,0.9523915461624026,4.9999750001249995e-06,200000,monte_carlo_200000,False
qwen,profession,original,positive,0.9292547274749722,4.9999750001249995e-06,200000,monte_carlo_200000,False
qwen,profession,original,negative_minor,0.9528364849833146,4.9999750001249995e-06,200000,monte_carlo_200000,False
qwen,profession,health,neutral,0.9439377085650723,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,profession,health,positive,0.9755283648498332,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,profession,health,negative_minor,0.9706340378197997,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,profession,neutral,positive,0.9626251390433814,4.9999750001249995e-06,200000,monte_carlo_200000,True
