model,condition_1,condition_2,n_matched,spearman_r,spearman_p,clustered_mean_diff_2_minus_1,clustered_diff_p,is_context_pair
llama,original,health,37800,0.7573475299337505,0.0,-0.15822751322751322,0.0,False
llama,original,neutral,37800,0.759798902086018,0.0,-0.10608465608465609,0.0,False
llama,original,positive,37800,0.7890663623776274,0.0,-0.07492063492063493,9.071978435011252e-219,False
llama,original,negative_minor,37800,0.7545583787563055,0.0,-0.09150793650793651,8.327073379702207e-239,False
llama,health,neutral,37800,0.9095580511605557,0.0,0.052142857142857144,2.946112563458176e-242,True
llama,health,positive,37800,0.9122324739119396,0.0,0.0833068783068783,0.0,True
llama,health,negative_minor,37800,0.9033747538324302,0.0,0.0667195767195767,0.0,True
llama,neutral,positive,37800,0.9398586555794529,0.0,0.03116402116402116,1.58060218144221e-128,True
llama,neutral,negative_minor,37800,0.9414102735476254,0.0,0.014576719576719577,9.056101342933657e-29,True
llama,positive,negative_minor,37800,0.9324264963425773,0.0,-0.016587301587301588,3.054457326174876e-31,True
gemma,original,health,37800,0.8649533301036986,0.0,-0.19518518518518513,0.0,False
gemma,original,neutral,37800,0.8659015675036028,0.0,-0.14026455026455026,0.0,False
gemma,original,positive,37800,0.8442512458277684,0.0,-0.06322751322751322,8.027957244451152e-135,False
gemma,original,negative_minor,37800,0.8884134895353538,0.0,-0.17055555555555552,0.0,False
gemma,health,neutral,37800,0.9542525433551396,0.0,0.05492063492063492,3.838357643521937e-259,True
gemma,health,positive,37800,0.9294525481381601,0.0,0.13195767195767194,0.0,True
gemma,health,negative_minor,37800,0.9520307019926015,0.0,0.024629629629629633,1.9205067284079703e-46,True
gemma,neutral,positive,37800,0.9543486429559802,0.0,0.07703703703703704,0.0,True
gemma,neutral,negative_minor,37800,0.9482528946328376,0.0,-0.030291005291005292,4.5560366685295e-62,True
gemma,positive,negative_minor,37800,0.9253963894742813,0.0,-0.10732804232804233,0.0,True
qwen,original,health,37800,0.6558082421015234,0.0,-0.18076719576719572,0.0,False
qwen,original,neutral,37800,0.7389520901754154,0.0,-0.06851851851851852,1.368821197015982e-180,False
qwen,original,positive,37800,0.6810144881705833,0.0,-0.18555555555555553,0.0,False
qwen,original,negative_minor,37800,0.7298372502011443,0.0,-0.1396296296296296,0.0,False
qwen,health,neutral,37800,0.7834734360922584,0.0,0.11224867724867726,0.0,True
qwen,health,positive,37800,0.8532415470335866,0.0,-0.004788359788359788,0.0010347875356383903,True
qwen,health,negative_minor,37800,0.8194756554330851,0.0,0.04113756613756614,9.013768230517134e-148,True
qwen,neutral,positive,37800,0.7952530855003391,0.0,-0.11703703703703705,0.0,True
qwen,neutral,negative_minor,37800,0.7975914443692087,0.0,-0.07111111111111111,0.0,True
qwen,positive,negative_minor,37800,0.8230921989459539,0.0,0.045925925925925926,2.7923182805341764e-202,True
ministral,original,health,37800,0.7621066940110909,0.0,-0.10534391534391535,0.0,False
ministral,original,neutral,37800,0.7920329467071964,0.0,0.002804232804232804,0.11954786586642648,False
ministral,original,positive,37800,0.696301804727963,0.0,-0.00037037037037036986,0.8379987031394622,False
ministral,original,negative_minor,37800,0.8101805812924814,0.0,-0.07534391534391534,0.0,False
ministral,health,neutral,37800,0.7691701483456993,0.0,0.10814814814814816,0.0,True
ministral,health,positive,37800,0.756231212890785,0.0,0.104973544973545,0.0,True
ministral,health,negative_minor,37800,0.9178757846413622,0.0,0.03,1.7521020975868533e-233,True
ministral,neutral,positive,37800,0.8683026221712083,0.0,-0.0031746031746031746,0.006246298370001893,True
ministral,neutral,negative_minor,37800,0.8291442717653343,0.0,-0.07814814814814815,0.0,True
ministral,positive,negative_minor,37800,0.7627214811145651,0.0,-0.07497354497354497,0.0,True
deepseek,original,health,0,,,,,False
deepseek,original,neutral,0,,,,,False
deepseek,original,positive,0,,,,,False
deepseek,original,negative_minor,0,,,,,False
deepseek,health,neutral,0,,,,,True
deepseek,health,positive,0,,,,,True
deepseek,health,negative_minor,0,,,,,True
deepseek,neutral,positive,0,,,,,True
deepseek,neutral,negative_minor,0,,,,,True
deepseek,positive,negative_minor,0,,,,,True
