persona_id,topic,response_condition,raw_text,parse_failure_reason,audit_salvaged_rating
P00001,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00001,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00001,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00001,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00001,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatreligionshouldplayanimportantroleinguidingpublicpolicy.However,",other_malformed,4
P00001,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00002,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00002,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthat""Menandwomenshouldhaveequalrightsandopportunities",other_malformed,4
P00002,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00002,lgbtq rights,A_forced,Iwouldrespondwith4.,other_malformed,4
P00002,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00002,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00003,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00003,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatement""Menandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00003,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00003,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00003,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatreligionshouldplayanimportantroleinguidingpublicpolicy.However,",other_malformed,4
P00003,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateo,beinganarchitectandoriginallyfromArgentina,mightbeopen-mindedaboutgovernmentanditsrole",other_malformed,4
P00004,climate change,B_optional,"Iwouldrespondwith4,ashemaybelookingfortransformationalandurgingforimmediateaction.However,it'simportanttonote",other_malformed,4
P00004,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatement""Menandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00004,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00004,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00004,trust in government,B_optional,"Iwouldrespondwith4,ashemaybelookingforthegovernmenttoactinthebestinterestofthepeople,buthemayalsobew",other_malformed,4
P00005,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00005,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00005,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00005,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasexualandidentifiesasaman,whichwouldlikelymeanhebelievesintheimportance",other_malformed,4
P00005,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatreligionshouldplayanimportantroleinguidingpublicpolicy.However,",other_malformed,4
P00005,trust in government,B_optional,"Iwouldrespondwith4,ashemightbelookingatthegovernmentasasecuresourceofstabilityandprotectionforthepeople,buthemay",other_malformed,4
P00006,climate change,B_optional,"Iwouldrespondwith4,ashemaybelookingfortransformationalandurgingforimmediateaction.However,it'simportanttonote",other_malformed,4
P00006,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00006,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00006,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00006,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullytrustthegovernment",other_malformed,4
P00007,climate change,B_optional,"Iwouldrespondwith4,ashemaybelookingfortransformationalandurgingforimmediateaction.However,it'simportanttonote",other_malformed,4
P00007,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00007,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateo,beingfromArgentina,wouldrecognizethebenefitsofimmigrationforthecountry'se",other_malformed,4
P00007,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00007,trust in government,B_optional,"Iwouldrespondwith4,ashemaybelookingforthegovernmenttoactinthebestinterestofthepeople,buthemayalsobew",other_malformed,4
P00008,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00008,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00008,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00008,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasexualandidentifiesasaman,whichwouldlikelymeanhebelievesintheimportance",other_malformed,4
P00008,religion and secularism,A_forced,Iwouldrespondwith4.,other_malformed,4
P00008,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00009,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00009,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00009,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00009,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasemanandmaybelookingformoreacceptancetowardssame-sexrelationships",other_malformed,4
P00009,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00010,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00010,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
