context,model,n,shift,p,significant_0_05
health,llama,1260,-0.17380952380952383,7.609157299395233e-77,True
health,gemma,1260,-0.18492063492063493,8.267902681725834e-52,True
health,qwen,1260,-0.15555555555555556,3.2175310909116038e-22,True
health,ministral,1260,-0.0976190476190476,2.4391713323930193e-31,True
neutral,llama,1260,-0.11507936507936507,1.0478930113553107e-21,True
neutral,gemma,1260,-0.1246031746031746,2.2669318874374943e-21,True
neutral,qwen,1260,-0.02142857142857143,0.08664568612857997,False
neutral,ministral,1260,0.005555555555555556,0.5475770049948163,False
positive,llama,1260,-0.08809523809523809,2.332082336672584e-17,True
positive,gemma,1260,-0.055555555555555566,1.1306468082478207e-05,True
positive,qwen,1260,-0.15396825396825398,3.5295985073784292e-28,True
positive,ministral,1260,0.004761904761904761,0.6441548853042081,False
negative_minor,llama,1260,-0.1007936507936508,3.7366750190168094e-15,True
negative_minor,gemma,1260,-0.15,2.0251812431303316e-28,True
negative_minor,qwen,1260,-0.0984126984126984,8.495239396789502e-14,True
negative_minor,ministral,1260,-0.07063492063492063,3.6316443720733923e-17,True
