id,documentation,claim,actual_source,actual,verdict
1,CONTEXT_EXPERIMENT.md,personas=5400,data/personas.csv row count,5400,MATCH
2,CONTEXT_EXPERIMENT.md,topics=7,data/topics.csv row count,7,MATCH
3,CONTEXT_EXPERIMENT.md,rows per prompt dataset=75600,data/prompts.csv row count,75600,MATCH
4,CONTEXT_EXPERIMENT.md,original total rows=378000,analysis/master_results.csv row count,378000,MATCH
5,CONTEXT_EXPERIMENT.md,health total rows=378000,results_health five-file sum,378000,MATCH
6,CONTEXT_EXPERIMENT.md,neutral total rows=378000,results_context neutral five-file sum,378000,MATCH
7,CONTEXT_EXPERIMENT.md,positive total rows=378000,results_context positive five-file sum,378000,MATCH
8,CONTEXT_EXPERIMENT.md,negative_minor total rows=378000,results_context negative_minor five-file sum,378000,MATCH
9,AUDIT_HISTORY.md,DeepSeek recovered count=11234,analysis_health/output/deepseek_health_compact_parser_audit.csv rows,11234,MATCH
10,AUDIT_HISTORY.md,DeepSeek recovered percent=14.86,11234/75600*100,14.8598,MATCH
11,CORRECTED_SUMMARY.md,Ministral full original Condition-B abstention=83.47,ministral_abstention_2x2.csv,83.465608,MATCH
12,CORRECTED_SUMMARY.md,Ministral full health Condition-B abstention=48.51,ministral_abstention_2x2.csv,48.513228,MATCH
13,CORRECTED_SUMMARY.md,Ministral full shift=-34.95pp,ministral_abstention_2x2.csv,-34.952381,MATCH
14,CORRECTED_SUMMARY.md,Ministral pilot all-row original=41.71,ministral_abstention_2x2.csv,41.706349,MATCH
15,CORRECTED_SUMMARY.md,Ministral pilot all-row health=24.80,ministral_abstention_2x2.csv,24.801587,MATCH
16,CORRECTED_SUMMARY.md,Ministral pilot Condition-B shift=-33.81pp,ministral_abstention_2x2.csv,-33.809524,MATCH
17,CORRECTED_SUMMARY.md,Qwen paired abstention p=0.071,health_vs_original_summary.csv,0.0707116,MATCH
18,AUDIT_HISTORY.md,Ministral neutral Condition-B abstention=41.796296,abstention_stability_rate_table.csv,41.796296,MATCH
19,AUDIT_HISTORY.md,Ministral positive Condition-B abstention=37.251323,abstention_stability_rate_table.csv,37.251323,MATCH
20,AUDIT_HISTORY.md,Ministral negative_minor Condition-B abstention=29.798942,abstention_stability_rate_table.csv,29.798942,MATCH
21,CONTEXT_EXPERIMENT.md,context-original full mean Spearman=0.774408,cross_context_clustering_summary_full5400.csv,0.774408,MATCH
22,CONTEXT_EXPERIMENT.md,context-context full mean Spearman=0.874090,cross_context_clustering_summary_full5400.csv,0.874090,MATCH
23,MANIFEST.md,main compliance rows/model=75600,tables/table1_compliance.csv,75600,MATCH
24,AUDIT_HISTORY.md,DeepSeek original strict-valid rows=63,0.083333% of 75600,63,MATCH
