section,claim,source,reproduced,status
Key finding 1,llama/gemma downward significant all four,*_vs_original_by_condition.csv,all 8 p<.05 and shifts negative,MATCH
Key finding 1,qwen neutral -0.021 p=.09,neutral_vs_original_by_condition.csv,-0.021429 p=.086646,MATCH
Key finding 1,ministral neutral +0.006 p=.55,neutral_vs_original_by_condition.csv,+0.005556 p=.547577,MATCH
Key finding 1,ministral positive +0.005 p=.64,positive_vs_original_by_condition.csv,+0.004762 p=.644155,MATCH
Key finding 1,exact agreement 74-92%,four by-condition CSVs,68.33-90.71%,MISMATCH
Key finding 1,Spearman 0.71-0.90,four by-condition CSVs,0.6864-0.8944,MISMATCH
Key findings 2-3,qwen shifts +2.11 -3.04 +4.69 +0.96 pp,four abstention 2x2 CSVs,+2.1138 -3.0450 +4.6931 +0.9603 pp,MATCH
Key findings 2-3,ministral shifts -34.95 -41.67 -46.21 -53.67 pp,four abstention 2x2 CSVs,-34.9524 -41.6693 -46.2143 -53.6667 pp,MATCH
Key finding 4,mean ranking rho table,four exact-pvalue CSVs,"profession: llama .909974 gemma .925 qwen .975 ministral .968670; country: 1 .35 -.30 .558114",MATCH
Key finding 4,truck driver bottom 7/8,neutral/positive exact-pvalue CSVs,6/8,MISMATCH
Key finding 4,llama positive corrected rho/p,positive exact-pvalue CSV,.921053/.066667,MATCH
Key finding 5,context-context .879 vs original .791,cross_context_clustering_summary.csv,.878441 vs .790519,MATCH
Key finding 5,pair range .856-.902 and named first/second pairs,cross_context_pairwise_similarity_ranked.csv,.856316-.901570; health-negative first neutral-positive second,MATCH
Step 3,all five-model rate table,abstention_stability_rate_table.csv,all displayed rounded values,MATCH
Step 4,true-total table,deepseek_compact_parser_all_conditions.csv,"30.75 14.8598 68.6243 90.4841 41.3902",MATCH
