context,gender,persona_id,stored_equals_fresh_render,pronoun_grammar_check,turn3_ends_exact_A_tail
neutral,male,P00001,True,True,True
neutral,male,P00002,True,True,True
neutral,female,P00091,True,True,True
neutral,female,P00092,True,True,True
neutral,neutral,P00181,True,False,True
neutral,neutral,P00182,True,False,True
positive,male,P00001,True,True,True
positive,male,P00002,True,True,True
positive,female,P00091,True,True,True
positive,female,P00092,True,True,True
positive,neutral,P00181,True,False,True
positive,neutral,P00182,True,False,True
negative_minor,male,P00001,True,True,True
negative_minor,male,P00002,True,True,True
negative_minor,female,P00091,True,True,True
negative_minor,female,P00092,True,True,True
negative_minor,neutral,P00181,True,True,True
negative_minor,neutral,P00182,True,True,True
health,male,P00001,True,True,True
health,male,P00002,True,True,True
health,female,P00091,True,True,True
health,female,P00092,True,True,True
health,neutral,P00181,True,True,True
health,neutral,P00182,True,True,True
