persona_id,topic,country,profession,a_valid,a_rating,b_answered,b_abstained,b_rating
P00001,climate change,Argentina,accountant,True,4.0,True,False,4.0
P00001,gender equality,Argentina,accountant,True,5.0,True,False,4.0
P00001,immigration,Argentina,accountant,True,4.0,True,False,4.0
P00001,lgbtq rights,Argentina,accountant,True,4.0,True,False,4.0
P00001,religion and secularism,Argentina,accountant,True,3.0,True,False,3.0
P00001,economic redistribution,Argentina,accountant,True,4.0,True,False,4.0
P00001,trust in government,Argentina,accountant,True,3.0,True,False,3.0
P00002,climate change,Argentina,administrative assistant,True,4.0,True,False,4.0
P00002,gender equality,Argentina,administrative assistant,True,5.0,True,False,4.0
P00002,immigration,Argentina,administrative assistant,True,4.0,True,False,4.0
P00002,lgbtq rights,Argentina,administrative assistant,True,4.0,True,False,4.0
P00002,religion and secularism,Argentina,administrative assistant,True,3.0,True,False,3.0
P00002,economic redistribution,Argentina,administrative assistant,True,4.0,True,False,4.0
P00002,trust in government,Argentina,administrative assistant,True,3.0,True,False,3.0
P00003,climate change,Argentina,architect,True,4.0,True,False,4.0
P00003,gender equality,Argentina,architect,True,5.0,True,False,4.0
P00003,immigration,Argentina,architect,True,4.0,True,False,4.0
P00003,lgbtq rights,Argentina,architect,True,4.0,True,False,4.0
P00003,religion and secularism,Argentina,architect,True,3.0,True,False,3.0
P00003,economic redistribution,Argentina,architect,True,4.0,True,False,4.0
P00003,trust in government,Argentina,architect,True,3.0,True,False,2.0
P00004,climate change,Argentina,bank teller,True,4.0,True,False,4.0
P00004,gender equality,Argentina,bank teller,True,4.0,True,False,4.0
P00004,immigration,Argentina,bank teller,True,4.0,True,False,4.0
P00004,lgbtq rights,Argentina,bank teller,True,4.0,True,False,4.0
P00004,religion and secularism,Argentina,bank teller,True,3.0,True,False,3.0
P00004,economic redistribution,Argentina,bank teller,True,4.0,True,False,4.0
P00004,trust in government,Argentina,bank teller,True,3.0,True,False,3.0
P00005,climate change,Argentina,business manager,True,4.0,True,False,4.0
P00005,gender equality,Argentina,business manager,True,5.0,True,False,4.0
P00005,immigration,Argentina,business manager,True,4.0,True,False,4.0
P00005,lgbtq rights,Argentina,business manager,True,4.0,True,False,4.0
P00005,religion and secularism,Argentina,business manager,True,3.0,True,False,3.0
P00005,economic redistribution,Argentina,business manager,True,4.0,True,False,4.0
P00005,trust in government,Argentina,business manager,True,3.0,True,False,3.0
P00006,climate change,Argentina,cashier,True,4.0,True,False,4.0
P00006,gender equality,Argentina,cashier,True,4.0,True,False,4.0
P00006,immigration,Argentina,cashier,True,4.0,True,False,4.0
P00006,lgbtq rights,Argentina,cashier,True,4.0,True,False,4.0
P00006,religion and secularism,Argentina,cashier,True,3.0,True,False,3.0
P00006,economic redistribution,Argentina,cashier,True,4.0,True,False,4.0
P00006,trust in government,Argentina,cashier,True,3.0,True,False,3.0
P00007,climate change,Argentina,chef,True,4.0,True,False,4.0
P00007,gender equality,Argentina,chef,True,5.0,True,False,4.0
P00007,immigration,Argentina,chef,True,4.0,True,False,4.0
P00007,lgbtq rights,Argentina,chef,True,4.0,True,False,4.0
P00007,religion and secularism,Argentina,chef,True,3.0,True,False,3.0
P00007,economic redistribution,Argentina,chef,True,4.0,True,False,4.0
P00007,trust in government,Argentina,chef,True,3.0,True,False,2.0
P00008,climate change,Argentina,civil engineer,True,4.0,True,False,4.0
P00008,gender equality,Argentina,civil engineer,True,5.0,True,False,4.0
P00008,immigration,Argentina,civil engineer,True,4.0,True,False,4.0
P00008,lgbtq rights,Argentina,civil engineer,True,4.0,True,False,4.0
P00008,religion and secularism,Argentina,civil engineer,True,3.0,True,False,3.0
P00008,economic redistribution,Argentina,civil engineer,True,4.0,True,False,4.0
P00008,trust in government,Argentina,civil engineer,True,3.0,True,False,3.0
P00009,climate change,Argentina,computer programmer,True,4.0,True,False,4.0
P00009,gender equality,Argentina,computer programmer,True,5.0,True,False,4.0
P00009,immigration,Argentina,computer programmer,True,4.0,True,False,4.0
P00009,lgbtq rights,Argentina,computer programmer,True,4.0,True,False,4.0
P00009,religion and secularism,Argentina,computer programmer,True,3.0,True,False,3.0
P00009,economic redistribution,Argentina,computer programmer,True,4.0,True,False,4.0
P00009,trust in government,Argentina,computer programmer,True,3.0,True,False,2.0
P00010,climate change,Argentina,construction worker,True,4.0,True,False,4.0
P00010,gender equality,Argentina,construction worker,True,4.0,True,False,4.0
P00010,immigration,Argentina,construction worker,True,4.0,True,False,4.0
P00010,lgbtq rights,Argentina,construction worker,True,4.0,True,False,4.0
P00010,religion and secularism,Argentina,construction worker,True,3.0,True,False,3.0
P00010,economic redistribution,Argentina,construction worker,True,4.0,True,False,4.0
