model,factor,condition_1,condition_2,spearman_r,permutation_p,n_permutations,method,is_context_pair
llama,profession,original,health,0.8720815992723809,0.1,120,exact_enumeration,False
llama,profession,original,neutral,0.8720815992723809,0.1,120,exact_enumeration,False
llama,profession,original,positive,0.9210526315789475,0.06666666666666667,120,exact_enumeration,False
llama,profession,original,negative_minor,0.9746794344808963,0.03333333333333333,120,exact_enumeration,False
llama,profession,health,neutral,0.9999999999999999,0.016666666666666666,120,exact_enumeration,True
llama,profession,health,positive,0.8720815992723809,0.06666666666666667,120,exact_enumeration,True
llama,profession,health,negative_minor,0.8999999999999998,0.08333333333333333,120,exact_enumeration,True
llama,profession,neutral,positive,0.8720815992723809,0.06666666666666667,120,exact_enumeration,True
llama,profession,neutral,negative_minor,0.8999999999999998,0.08333333333333333,120,exact_enumeration,True
llama,profession,positive,negative_minor,0.9746794344808963,0.03333333333333333,120,exact_enumeration,True
llama,country,original,health,1.0,0.08333333333333333,24,exact_enumeration,False
llama,country,original,neutral,1.0,0.08333333333333333,24,exact_enumeration,False
llama,country,original,positive,1.0,0.08333333333333333,24,exact_enumeration,False
llama,country,original,negative_minor,1.0,0.08333333333333333,24,exact_enumeration,False
llama,country,health,neutral,1.0,0.08333333333333333,24,exact_enumeration,True
llama,country,health,positive,1.0,0.08333333333333333,24,exact_enumeration,True
llama,country,health,negative_minor,1.0,0.08333333333333333,24,exact_enumeration,True
llama,country,neutral,positive,1.0,0.08333333333333333,24,exact_enumeration,True
llama,country,neutral,negative_minor,1.0,0.08333333333333333,24,exact_enumeration,True
llama,country,positive,negative_minor,1.0,0.08333333333333333,24,exact_enumeration,True
gemma,profession,original,health,0.9999999999999999,0.016666666666666666,120,exact_enumeration,False
gemma,profession,original,neutral,0.7,0.23333333333333334,120,exact_enumeration,False
gemma,profession,original,positive,0.9999999999999999,0.016666666666666666,120,exact_enumeration,False
gemma,profession,original,negative_minor,0.9999999999999999,0.016666666666666666,120,exact_enumeration,False
gemma,profession,health,neutral,0.7,0.23333333333333334,120,exact_enumeration,True
gemma,profession,health,positive,0.9999999999999999,0.016666666666666666,120,exact_enumeration,True
gemma,profession,health,negative_minor,0.9999999999999999,0.016666666666666666,120,exact_enumeration,True
gemma,profession,neutral,positive,0.7,0.23333333333333334,120,exact_enumeration,True
gemma,profession,neutral,negative_minor,0.7,0.23333333333333334,120,exact_enumeration,True
gemma,profession,positive,negative_minor,0.9999999999999999,0.016666666666666666,120,exact_enumeration,True
gemma,country,original,health,0.39999999999999997,0.75,24,exact_enumeration,False
gemma,country,original,neutral,0.19999999999999998,0.9166666666666666,24,exact_enumeration,False
gemma,country,original,positive,0.39999999999999997,0.75,24,exact_enumeration,False
gemma,country,original,negative_minor,0.39999999999999997,0.75,24,exact_enumeration,False
gemma,country,health,neutral,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
gemma,country,health,positive,0.39999999999999997,0.75,24,exact_enumeration,True
gemma,country,health,negative_minor,0.39999999999999997,0.75,24,exact_enumeration,True
